loan_amnt,purpose,fico,dti,zip_code,State,emp_length,id,Year,Month,approval
6000.0,debt_consolidation,792.0,5.34,700,LA,10,45,2011,12,1
10000.0,credit_card,792.0,12.74,67,CT,10,49,2011,12,1
5000.0,home_improvement,792.0,3.82,70,NJ,9,275,2011,12,1
6000.0,debt_consolidation,797.0,1.68,410,KY,1,389,2011,12,1
18000.0,debt_consolidation,792.0,6.35,760,TX,2,442,2011,12,1
7200.0,other,792.0,2.54,850,AZ,5,443,2011,12,1
8000.0,debt_consolidation,792.0,4.72,293,SC,10,458,2011,12,1
18500.0,debt_consolidation,812.0,26.34,969,HI,10,500,2011,12,1
16000.0,other,802.0,2.78,27,MA,3,557,2011,12,1
5000.0,other,817.0,0.93,113,NY,3,727,2011,12,1
32000.0,small_business,797.0,6.07,69,CT,2,847,2011,12,1
24000.0,home_improvement,792.0,1.77,757,TX,2,1075,2011,12,1
22500.0,other,792.0,11.04,109,NY,4,1199,2011,12,1
12000.0,medical,792.0,6.45,327,FL,6,1214,2011,12,1
12950.0,house,797.0,3.46,443,OH,1,1217,2011,12,1
30000.0,home_improvement,792.0,1.07,980,WA,10,1231,2011,12,1
35000.0,debt_consolidation,792.0,2.47,336,FL,3,1257,2011,12,1
3500.0,home_improvement,797.0,0.76,346,FL,10,1294,2011,12,1
10000.0,debt_consolidation,792.0,23.55,601,IL,1,1312,2011,12,1
12000.0,major_purchase,797.0,8.06,275,NC,1,1331,2011,12,1
4000.0,debt_consolidation,812.0,17.53,917,CA,2,1382,2011,12,1
7000.0,small_business,792.0,5.89,928,CA,9,1422,2011,12,1
25000.0,other,792.0,0.32,64,CT,4,1484,2011,12,1
20500.0,small_business,792.0,2.29,760,TX,10,1498,2011,12,1
7500.0,major_purchase,797.0,4.26,25,MA,1,1546,2011,12,1
10000.0,major_purchase,792.0,14.84,952,CA,10,1559,2011,12,1
20000.0,small_business,802.0,5.04,751,TX,4,1616,2011,12,1
4000.0,debt_consolidation,797.0,9.01,630,MO,10,1799,2011,11,1
6000.0,debt_consolidation,797.0,12.15,363,AL,10,1811,2011,11,1
35000.0,house,802.0,18.14,23,MA,7,1812,2011,12,1
35000.0,house,807.0,4.34,201,VA,1,1815,2011,12,1
15000.0,other,797.0,1.16,656,MO,8,1847,2011,12,1
6000.0,debt_consolidation,812.0,1.32,925,CA,10,2072,2011,11,1
12000.0,debt_consolidation,792.0,18.89,302,GA,9,2081,2011,11,1
20000.0,house,807.0,0.6,953,CA,4,2167,2011,12,1
24000.0,other,797.0,11.81,934,CA,9,2185,2011,12,1
10150.0,credit_card,802.0,8.35,770,TX,2,2259,2011,11,1
20000.0,medical,812.0,5.22,88,NJ,10,2310,2011,11,1
1500.0,other,797.0,2.72,840,UT,4,2420,2011,11,1
12000.0,car,797.0,8.09,441,OH,6,2433,2011,11,1
9000.0,home_improvement,802.0,7.26,339,FL,4,2437,2011,11,1
15000.0,car,802.0,26.61,446,OH,10,2592,2011,12,1
25000.0,home_improvement,817.0,0.0,21,MA,10,2637,2011,11,1
30000.0,home_improvement,812.0,0.34,18,MA,10,2746,2011,11,1
5200.0,vacation,812.0,8.17,109,NY,0,2800,2011,11,1
2800.0,major_purchase,802.0,15.23,140,NY,7,2825,2011,11,1
10000.0,moving,812.0,4.97,300,GA,1,2826,2011,11,1
4000.0,home_improvement,802.0,3.37,208,MD,1,2871,2011,11,1
5000.0,other,802.0,1.8,640,MO,6,2902,2011,11,1
8000.0,home_improvement,802.0,7.77,109,NY,7,2925,2011,11,1
2100.0,renewable_energy,807.0,1.2,490,MI,7,2951,2011,11,1
10000.0,major_purchase,792.0,1.7,494,MI,0,2993,2011,11,1
35000.0,other,802.0,0.94,24,MA,1,3011,2011,11,1
3000.0,car,807.0,1.18,760,TX,4,3051,2011,11,1
5000.0,car,802.0,17.82,173,PA,10,3176,2011,11,1
3000.0,medical,792.0,2.76,871,NM,10,3178,2011,11,1
8500.0,car,792.0,10.77,444,OH,10,3210,2011,11,1
4000.0,major_purchase,802.0,0.7,275,NC,10,3224,2011,11,1
12600.0,home_improvement,802.0,6.4,551,MN,6,3257,2011,11,1
12000.0,car,797.0,9.75,926,CA,4,3321,2011,11,1
30000.0,wedding,802.0,8.37,105,NY,1,3356,2011,11,1
4000.0,debt_consolidation,807.0,1.13,662,KS,10,3396,2011,11,1
7200.0,vacation,797.0,21.92,641,MO,10,3430,2011,11,1
9400.0,home_improvement,812.0,18.93,80,NJ,0,3461,2011,11,1
24800.0,small_business,792.0,3.89,190,PA,7,3476,2011,11,1
10000.0,debt_consolidation,802.0,8.88,553,MN,2,3500,2011,11,1
6800.0,major_purchase,792.0,2.99,113,NY,4,3519,2011,11,1
16000.0,home_improvement,792.0,17.11,16,MA,10,3555,2011,11,1
15000.0,wedding,797.0,0.96,322,FL,1,3560,2011,11,1
25000.0,home_improvement,792.0,0.02,303,GA,4,3594,2011,11,1
24000.0,other,797.0,0.65,774,TX,10,3689,2011,11,1
21500.0,debt_consolidation,792.0,8.97,300,GA,3,3694,2011,11,1
8000.0,home_improvement,797.0,7.97,841,UT,10,3736,2011,11,1
10200.0,car,792.0,4.54,219,MD,9,3758,2011,11,1
8000.0,debt_consolidation,792.0,16.49,481,MI,2,3782,2011,11,1
14000.0,home_improvement,802.0,9.14,224,VA,10,3798,2011,11,1
18400.0,other,792.0,2.1,900,CA,10,3836,2011,11,1
2000.0,credit_card,797.0,27.22,992,WA,6,3840,2011,11,1
30000.0,debt_consolidation,807.0,12.05,949,CA,10,3912,2011,11,1
8500.0,debt_consolidation,812.0,1.76,604,IL,6,3939,2011,11,1
